               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090668,            0.030869,            0.038325,             0.14235,             0.27654,             0.19054,            0.057147,            0.056769,            0.015338,            0.030735,            0.070769,           0.0032479,           0.0032479
                   1,            0.065215,            0.030329,            0.028882,             0.13407,             0.30598,             0.11969,            0.029431,            0.067966,            0.011512,            0.023954,            0.040552,            0.006364,            0.006364
                   2,            0.061781,            0.028233,            0.021229,             0.29675,             0.36573,             0.32272,             0.12535,            0.056792,            0.011791,            0.015744,            0.010115,           0.0092602,           0.0092602
                   3,             0.05706,            0.027341,            0.015273,             0.48532,             0.57246,             0.47477,             0.12569,            0.053888,            0.011307,            0.010605,             0.00901,             0.00901,             0.00901
                   4,            0.056945,            0.029203,            0.011701,             0.49159,              0.5932,             0.52796,              0.2154,            0.048893,            0.013128,           0.0074528,             0.00901,             0.00901,             0.00901
                   5,            0.049033,            0.026773,            0.010289,              0.5381,             0.62596,             0.57566,             0.19374,            0.050584,           0.0096218,            0.023566,             0.00868,             0.00868,             0.00868
                   6,            0.045311,            0.027104,            0.010054,             0.49068,             0.43847,             0.40599,              0.1377,            0.060362,              0.0103,            0.019113,             0.00835,             0.00835,             0.00835
                   7,            0.043367,             0.02709,           0.0084927,             0.64215,             0.78049,             0.73712,             0.34458,            0.040766,           0.0095971,           0.0069796,             0.00802,             0.00802,             0.00802
                   8,            0.040776,            0.025628,           0.0072871,             0.74763,              0.6837,             0.74176,             0.31134,            0.045378,           0.0097242,           0.0061152,             0.00769,             0.00769,             0.00769
                   9,             0.03835,            0.025061,           0.0084358,             0.65563,             0.77339,             0.74491,             0.33968,            0.041114,           0.0095973,           0.0051309,             0.00736,             0.00736,             0.00736
                  10,            0.036824,            0.024535,           0.0068899,             0.77978,              0.7477,             0.81328,             0.39833,            0.035057,            0.009526,           0.0043493,             0.00703,             0.00703,             0.00703
                  11,            0.035444,            0.025207,           0.0076605,             0.62204,             0.81992,             0.77019,             0.42511,            0.030218,            0.010118,           0.0039153,              0.0067,              0.0067,              0.0067
                  12,            0.035953,             0.02407,           0.0059923,             0.66436,              0.8358,             0.77795,             0.38352,            0.038869,           0.0094195,           0.0063895,             0.00637,             0.00637,             0.00637
                  13,            0.034927,              0.0238,           0.0070617,             0.78857,             0.77385,             0.79468,              0.2935,             0.04086,           0.0093883,           0.0045752,             0.00604,             0.00604,             0.00604
                  14,            0.035627,            0.023363,           0.0059838,             0.75394,              0.7507,             0.79081,             0.41962,            0.035126,           0.0093179,           0.0058855,             0.00571,             0.00571,             0.00571
                  15,            0.034043,            0.022268,            0.004611,             0.80499,             0.78339,             0.84506,             0.49926,            0.031358,           0.0088257,           0.0024272,             0.00538,             0.00538,             0.00538
                  16,            0.033218,            0.022961,           0.0052787,             0.87692,             0.83742,              0.8848,             0.45713,            0.032741,           0.0083984,           0.0048034,             0.00505,             0.00505,             0.00505
                  17,            0.032657,            0.022414,           0.0049748,             0.78354,             0.83587,              0.8382,               0.437,            0.031022,           0.0086165,            0.019672,             0.00472,             0.00472,             0.00472
                  18,            0.031969,            0.023165,           0.0041127,             0.80562,             0.73969,              0.8212,             0.41086,            0.035747,           0.0088323,           0.0028378,             0.00439,             0.00439,             0.00439
                  19,             0.03227,             0.02343,           0.0047844,             0.80319,             0.87236,             0.86886,             0.45018,            0.030813,           0.0090314,           0.0022384,             0.00406,             0.00406,             0.00406
                  20,            0.031095,            0.022264,            0.004818,             0.88195,             0.82316,             0.88697,             0.42147,            0.035279,           0.0085369,             0.01014,             0.00373,             0.00373,             0.00373
                  21,            0.030332,            0.021652,           0.0042036,             0.79477,             0.90879,             0.89051,             0.45698,            0.033916,           0.0086306,             0.01155,              0.0034,              0.0034,              0.0034
                  22,            0.030028,            0.021795,           0.0034447,             0.82335,             0.92877,             0.91229,             0.49136,            0.031355,           0.0082969,           0.0027741,             0.00307,             0.00307,             0.00307
                  23,            0.029447,            0.022881,           0.0038432,             0.81649,             0.86392,             0.88471,             0.46143,            0.030029,           0.0085786,           0.0020777,             0.00274,             0.00274,             0.00274
                  24,            0.029894,            0.021846,            0.003723,              0.8459,             0.91196,             0.88688,             0.40553,            0.034422,            0.008554,           0.0017566,             0.00241,             0.00241,             0.00241
                  25,            0.028627,            0.020614,           0.0042724,             0.83417,             0.86131,              0.8901,             0.46147,             0.03092,           0.0087515,           0.0020055,             0.00208,             0.00208,             0.00208
                  26,             0.02936,            0.021435,           0.0040418,              0.8348,             0.86828,             0.88958,             0.46389,            0.030583,           0.0085409,           0.0023148,             0.00175,             0.00175,             0.00175
                  27,            0.027776,            0.020055,           0.0034525,             0.85597,             0.85776,             0.88092,             0.46264,              0.0305,           0.0086185,           0.0018161,             0.00142,             0.00142,             0.00142
                  28,            0.027395,            0.019639,           0.0031216,             0.82238,             0.91711,             0.88921,             0.48091,            0.029258,           0.0085629,           0.0019175,             0.00109,             0.00109,             0.00109
                  29,            0.025941,            0.019632,           0.0032396,             0.80694,             0.91381,             0.88317,             0.47789,            0.029984,           0.0085781,            0.001936,             0.00076,             0.00076,             0.00076
